MarioTime	BioTime	ChannelID	Data
baseline	1353078573026	2	736.0
baseline	1353078573027	2	737.0
baseline	1353078573027	2	738.0
baseline	1353078573027	2	738.0
baseline	1353078573028	2	738.0
baseline	1353078573028	2	738.0
baseline	1353078573028	2	738.0
baseline	1353078573029	2	738.0
baseline	1353078573029	2	738.0
baseline	1353078573029	2	738.0
baseline	1353078573029	2	739.0
baseline	1353078573030	2	739.0
baseline	1353078573030	2	739.0
baseline	1353078573030	2	739.0
baseline	1353078573031	2	739.0
baseline	1353078573031	2	739.0
baseline	1353078573525	2	739.0
baseline	1353078573526	2	740.0
baseline	1353078573526	2	740.0
baseline	1353078573526	2	740.0
baseline	1353078573527	2	741.0
baseline	1353078573527	2	741.0
baseline	1353078573527	2	741.0
baseline	1353078573528	2	741.0
baseline	1353078573528	2	741.0
baseline	1353078573528	2	741.0
baseline	1353078573529	2	742.0
baseline	1353078573529	2	742.0
baseline	1353078573529	2	742.0
baseline	1353078573530	2	742.0
baseline	1353078573530	2	743.0
baseline	1353078573530	2	742.0
baseline	1353078574025	2	742.0
baseline	1353078574025	2	743.0
baseline	1353078574026	2	743.0
baseline	1353078574026	2	740.0
baseline	1353078574026	2	744.0
baseline	1353078574027	2	744.0
baseline	1353078574027	2	744.0
baseline	1353078574027	2	744.0
baseline	1353078574027	2	744.0
baseline	1353078574028	2	744.0
baseline	1353078574028	2	745.0
baseline	1353078574028	2	745.0
baseline	1353078574028	2	745.0
baseline	1353078574029	2	745.0
baseline	1353078574029	2	745.0
baseline	1353078574029	2	745.0
baseline	1353078574525	2	745.0
baseline	1353078574526	2	746.0
baseline	1353078574526	2	746.0
baseline	1353078574526	2	738.0
baseline	1353078574527	2	746.0
baseline	1353078574527	2	746.0
baseline	1353078574527	2	746.0
baseline	1353078574528	2	747.0
baseline	1353078574528	2	747.0
baseline	1353078574528	2	747.0
baseline	1353078574528	2	747.0
baseline	1353078574528	2	747.0
baseline	1353078574529	2	747.0
baseline	1353078574529	2	747.0
baseline	1353078574529	2	748.0
baseline	1353078574529	2	747.0
baseline	1353078575026	2	747.0
baseline	1353078575026	2	748.0
baseline	1353078575027	2	748.0
baseline	1353078575027	2	748.0
baseline	1353078575027	2	749.0
baseline	1353078575028	2	749.0
baseline	1353078575028	2	748.0
baseline	1353078575028	2	749.0
baseline	1353078575029	2	749.0
baseline	1353078575029	2	749.0
baseline	1353078575029	2	749.0
baseline	1353078575030	2	749.0
baseline	1353078575030	2	749.0
baseline	1353078575030	2	749.0
baseline	1353078575030	2	749.0
baseline	1353078575031	2	749.0
baseline	1353078575530	2	749.0
baseline	1353078575531	2	750.0
baseline	1353078575531	2	750.0
baseline	1353078575532	2	750.0
baseline	1353078575532	2	750.0
baseline	1353078575532	2	750.0
baseline	1353078575533	2	750.0
baseline	1353078575533	2	750.0
baseline	1353078575533	2	750.0
baseline	1353078575534	2	751.0
baseline	1353078575534	2	750.0
baseline	1353078575535	2	751.0
baseline	1353078575535	2	751.0
baseline	1353078575535	2	751.0
baseline	1353078575535	2	751.0
baseline	1353078575536	2	751.0
baseline	1353078576049	2	751.0
baseline	1353078576049	2	751.0
baseline	1353078576053	2	751.0
baseline	1353078576054	2	751.0
baseline	1353078576054	2	752.0
baseline	1353078576059	2	752.0
baseline	1353078576060	2	752.0
baseline	1353078576060	2	752.0
baseline	1353078576062	2	752.0
baseline	1353078576062	2	752.0
baseline	1353078576066	2	752.0
baseline	1353078576071	2	752.0
baseline	1353078576072	2	752.0
baseline	1353078576073	2	753.0
baseline	1353078576073	2	753.0
baseline	1353078576073	2	752.0
baseline	1353078576527	2	752.0
baseline	1353078576527	2	753.0
baseline	1353078576527	2	753.0
baseline	1353078576527	2	753.0
baseline	1353078576528	2	753.0
baseline	1353078576528	2	753.0
baseline	1353078576528	2	753.0
baseline	1353078576529	2	753.0
baseline	1353078576529	2	753.0
baseline	1353078576529	2	753.0
baseline	1353078576530	2	754.0
baseline	1353078576530	2	754.0
baseline	1353078576530	2	754.0
baseline	1353078576531	2	754.0
baseline	1353078576531	2	754.0
baseline	1353078576531	2	753.0
baseline	1353078577026	2	753.0
baseline	1353078577026	2	754.0
baseline	1353078577026	2	754.0
baseline	1353078577027	2	754.0
baseline	1353078577028	2	755.0
baseline	1353078577028	2	755.0
baseline	1353078577028	2	755.0
baseline	1353078577029	2	755.0
baseline	1353078577029	2	755.0
baseline	1353078577029	2	755.0
baseline	1353078577030	2	755.0
baseline	1353078577030	2	755.0
baseline	1353078577030	2	755.0
baseline	1353078577030	2	755.0
baseline	1353078577031	2	755.0
baseline	1353078577031	2	755.0
