MarioTime	BioTime	ChannelID	Data
baseline	1353076965044	2	795.0
baseline	1353076965045	2	796.0
baseline	1353076965045	2	796.0
baseline	1353076965046	2	796.0
baseline	1353076965046	2	796.0
baseline	1353076965046	2	796.0
baseline	1353076965047	2	796.0
baseline	1353076965047	2	797.0
baseline	1353076965048	2	797.0
baseline	1353076965048	2	797.0
baseline	1353076965048	2	797.0
baseline	1353076965049	2	798.0
baseline	1353076965049	2	798.0
baseline	1353076965049	2	798.0
baseline	1353076965050	2	798.0
baseline	1353076965050	2	798.0
baseline	1353076965546	2	798.0
baseline	1353076965546	2	799.0
baseline	1353076965547	2	800.0
baseline	1353076965547	2	800.0
baseline	1353076965548	2	800.0
baseline	1353076965548	2	800.0
baseline	1353076965548	2	801.0
baseline	1353076965548	2	801.0
baseline	1353076965549	2	801.0
baseline	1353076965549	2	802.0
baseline	1353076965550	2	802.0
baseline	1353076965550	2	802.0
baseline	1353076965550	2	802.0
baseline	1353076965552	2	803.0
baseline	1353076965552	2	803.0
baseline	1353076965553	2	803.0
baseline	1353076966045	2	803.0
baseline	1353076966046	2	804.0
baseline	1353076966046	2	804.0
baseline	1353076966046	2	804.0
baseline	1353076966046	2	804.0
baseline	1353076966047	2	804.0
baseline	1353076966047	2	805.0
baseline	1353076966048	2	805.0
baseline	1353076966048	2	805.0
baseline	1353076966048	2	806.0
baseline	1353076966048	2	806.0
baseline	1353076966049	2	806.0
baseline	1353076966049	2	806.0
baseline	1353076966049	2	806.0
baseline	1353076966049	2	807.0
baseline	1353076966050	2	806.0
baseline	1353076966545	2	806.0
baseline	1353076966545	2	807.0
baseline	1353076966545	2	807.0
baseline	1353076966546	2	807.0
baseline	1353076966546	2	808.0
baseline	1353076966546	2	808.0
baseline	1353076966547	2	808.0
baseline	1353076966547	2	808.0
baseline	1353076966547	2	809.0
baseline	1353076966548	2	809.0
baseline	1353076966548	2	809.0
baseline	1353076966548	2	809.0
baseline	1353076966548	2	809.0
baseline	1353076966548	2	810.0
baseline	1353076966549	2	809.0
baseline	1353076966549	2	809.0
baseline	1353076967045	2	809.0
baseline	1353076967045	2	810.0
baseline	1353076967046	2	810.0
baseline	1353076967046	2	810.0
baseline	1353076967046	2	810.0
baseline	1353076967047	2	811.0
baseline	1353076967047	2	811.0
baseline	1353076967047	2	811.0
baseline	1353076967048	2	811.0
baseline	1353076967048	2	811.0
baseline	1353076967048	2	811.0
baseline	1353076967049	2	811.0
baseline	1353076967049	2	812.0
baseline	1353076967049	2	812.0
baseline	1353076967050	2	812.0
baseline	1353076967050	2	812.0
baseline	1353076967546	2	812.0
baseline	1353076967546	2	812.0
baseline	1353076967546	2	812.0
baseline	1353076967547	2	812.0
baseline	1353076967547	2	813.0
baseline	1353076967547	2	813.0
baseline	1353076967548	2	813.0
baseline	1353076967548	2	814.0
baseline	1353076967548	2	813.0
baseline	1353076967549	2	814.0
baseline	1353076967549	2	814.0
baseline	1353076967550	2	813.0
baseline	1353076967551	2	814.0
baseline	1353076967552	2	814.0
baseline	1353076967552	2	814.0
baseline	1353076967552	2	814.0
baseline	1353076968046	2	814.0
baseline	1353076968046	2	815.0
baseline	1353076968047	2	815.0
baseline	1353076968047	2	814.0
baseline	1353076968047	2	815.0
baseline	1353076968048	2	815.0
baseline	1353076968048	2	815.0
baseline	1353076968048	2	815.0
baseline	1353076968048	2	815.0
baseline	1353076968049	2	816.0
baseline	1353076968049	2	816.0
baseline	1353076968049	2	816.0
baseline	1353076968050	2	816.0
baseline	1353076968051	2	816.0
baseline	1353076968051	2	816.0
baseline	1353076968051	2	816.0
baseline	1353076968545	2	816.0
baseline	1353076968545	2	817.0
baseline	1353076968545	2	817.0
baseline	1353076968546	2	816.0
baseline	1353076968546	2	817.0
baseline	1353076968546	2	818.0
baseline	1353076968546	2	818.0
baseline	1353076968547	2	818.0
baseline	1353076968547	2	818.0
baseline	1353076968547	2	818.0
baseline	1353076968548	2	818.0
baseline	1353076968548	2	819.0
baseline	1353076968548	2	819.0
baseline	1353076968549	2	819.0
baseline	1353076968549	2	819.0
baseline	1353076968549	2	819.0
baseline	1353076969045	2	819.0
baseline	1353076969045	2	820.0
baseline	1353076969045	2	820.0
baseline	1353076969046	2	819.0
baseline	1353076969046	2	820.0
baseline	1353076969046	2	820.0
baseline	1353076969047	2	820.0
baseline	1353076969047	2	820.0
baseline	1353076969047	2	820.0
baseline	1353076969048	2	821.0
baseline	1353076969048	2	821.0
baseline	1353076969048	2	821.0
baseline	1353076969049	2	821.0
baseline	1353076969049	2	821.0
baseline	1353076969049	2	821.0
baseline	1353076969050	2	821.0
baseline	1353076969545	2	821.0
baseline	1353076969546	2	821.0
baseline	1353076969546	2	822.0
baseline	1353076969547	2	823.0
baseline	1353076969547	2	822.0
baseline	1353076969547	2	822.0
baseline	1353076969548	2	822.0
baseline	1353076969548	2	822.0
baseline	1353076969548	2	823.0
baseline	1353076969549	2	823.0
baseline	1353076969549	2	823.0
baseline	1353076969549	2	823.0
baseline	1353076969550	2	823.0
baseline	1353076969550	2	823.0
baseline	1353076969550	2	823.0
baseline	1353076969551	2	823.0
baseline	1353076970045	2	823.0
baseline	1353076970046	2	823.0
baseline	1353076970046	2	824.0
baseline	1353076970046	2	827.0
baseline	1353076970046	2	824.0
baseline	1353076970047	2	824.0
baseline	1353076970047	2	824.0
baseline	1353076970047	2	824.0
baseline	1353076970048	2	824.0
baseline	1353076970048	2	824.0
baseline	1353076970048	2	824.0
baseline	1353076970049	2	824.0
baseline	1353076970049	2	824.0
baseline	1353076970049	2	825.0
baseline	1353076970050	2	824.0
baseline	1353076970050	2	824.0
baseline	1353076970547	2	824.0
baseline	1353076970547	2	825.0
baseline	1353076970547	2	825.0
baseline	1353076970548	2	824.0
baseline	1353076970548	2	825.0
baseline	1353076970548	2	825.0
baseline	1353076970549	2	825.0
baseline	1353076970549	2	825.0
baseline	1353076970549	2	825.0
baseline	1353076970550	2	825.0
baseline	1353076970550	2	825.0
baseline	1353076970550	2	825.0
baseline	1353076970551	2	825.0
baseline	1353076970551	2	825.0
baseline	1353076970551	2	825.0
baseline	1353076970551	2	825.0
baseline	1353076971045	2	825.0
baseline	1353076971045	2	825.0
baseline	1353076971046	2	826.0
baseline	1353076971046	2	826.0
baseline	1353076971046	2	826.0
baseline	1353076971046	2	826.0
baseline	1353076971047	2	826.0
baseline	1353076971047	2	826.0
baseline	1353076971047	2	826.0
baseline	1353076971048	2	826.0
baseline	1353076971048	2	826.0
baseline	1353076971048	2	826.0
baseline	1353076971048	2	826.0
baseline	1353076971049	2	826.0
baseline	1353076971049	2	826.0
baseline	1353076971049	2	826.0
baseline	1353076971544	2	826.0
baseline	1353076971545	2	826.0
baseline	1353076971545	2	826.0
baseline	1353076971546	2	826.0
baseline	1353076971546	2	826.0
baseline	1353076971546	2	827.0
baseline	1353076971546	2	826.0
baseline	1353076971547	2	826.0
baseline	1353076971547	2	827.0
baseline	1353076971547	2	827.0
baseline	1353076971548	2	827.0
baseline	1353076971548	2	827.0
baseline	1353076971548	2	827.0
baseline	1353076971548	2	827.0
baseline	1353076971549	2	827.0
baseline	1353076971549	2	826.0
baseline	1353076972046	2	826.0
baseline	1353076972047	2	827.0
baseline	1353076972048	2	827.0
baseline	1353076972048	2	827.0
baseline	1353076972048	2	827.0
baseline	1353076972049	2	827.0
baseline	1353076972049	2	827.0
baseline	1353076972049	2	827.0
baseline	1353076972050	2	827.0
baseline	1353076972050	2	827.0
baseline	1353076972051	2	827.0
baseline	1353076972051	2	827.0
baseline	1353076972051	2	827.0
baseline	1353076972052	2	827.0
baseline	1353076972053	2	827.0
baseline	1353076972053	2	827.0
baseline	1353076972548	2	827.0
baseline	1353076972548	2	827.0
baseline	1353076972549	2	827.0
baseline	1353076972549	2	827.0
baseline	1353076972549	2	827.0
baseline	1353076972550	2	827.0
baseline	1353076972550	2	827.0
baseline	1353076972550	2	827.0
baseline	1353076972550	2	827.0
baseline	1353076972551	2	827.0
baseline	1353076972551	2	827.0
baseline	1353076972551	2	827.0
baseline	1353076972552	2	827.0
baseline	1353076972552	2	828.0
baseline	1353076972552	2	828.0
baseline	1353076972553	2	827.0
baseline	1353076973045	2	827.0
baseline	1353076973045	2	828.0
baseline	1353076973045	2	828.0
baseline	1353076973046	2	828.0
baseline	1353076973046	2	828.0
baseline	1353076973046	2	828.0
baseline	1353076973046	2	828.0
baseline	1353076973047	2	828.0
baseline	1353076973047	2	828.0
baseline	1353076973047	2	827.0
baseline	1353076973047	2	828.0
baseline	1353076973048	2	828.0
baseline	1353076973048	2	828.0
baseline	1353076973048	2	828.0
baseline	1353076973049	2	828.0
baseline	1353076973049	2	827.0
baseline	1353076973545	2	827.0
baseline	1353076973545	2	828.0
baseline	1353076973546	2	828.0
baseline	1353076973546	2	828.0
baseline	1353076973546	2	828.0
baseline	1353076973547	2	828.0
baseline	1353076973547	2	828.0
baseline	1353076973547	2	828.0
baseline	1353076973548	2	828.0
baseline	1353076973548	2	828.0
baseline	1353076973548	2	828.0
baseline	1353076973548	2	828.0
baseline	1353076973549	2	828.0
baseline	1353076973549	2	828.0
baseline	1353076973549	2	828.0
baseline	1353076973550	2	827.0
baseline	1353076974044	2	827.0
baseline	1353076974044	2	828.0
baseline	1353076974045	2	828.0
baseline	1353076974045	2	828.0
baseline	1353076974045	2	828.0
baseline	1353076974045	2	828.0
baseline	1353076974046	2	829.0
baseline	1353076974046	2	829.0
baseline	1353076974046	2	828.0
baseline	1353076974046	2	828.0
baseline	1353076974047	2	828.0
baseline	1353076974047	2	828.0
baseline	1353076974047	2	828.0
baseline	1353076974047	2	828.0
baseline	1353076974048	2	828.0
baseline	1353076974048	2	828.0
baseline	1353076974544	2	828.0
baseline	1353076974544	2	828.0
baseline	1353076974545	2	828.0
baseline	1353076974545	2	828.0
baseline	1353076974545	2	829.0
baseline	1353076974545	2	828.0
baseline	1353076974545	2	829.0
baseline	1353076974546	2	828.0
baseline	1353076974546	2	829.0
baseline	1353076974546	2	829.0
baseline	1353076974546	2	828.0
baseline	1353076974547	2	829.0
baseline	1353076974547	2	828.0
baseline	1353076974548	2	829.0
baseline	1353076974548	2	829.0
baseline	1353076974548	2	828.0
baseline	1353076975044	2	828.0
baseline	1353076975045	2	828.0
baseline	1353076975045	2	829.0
baseline	1353076975045	2	828.0
baseline	1353076975046	2	828.0
baseline	1353076975046	2	829.0
baseline	1353076975047	2	832.0
baseline	1353076975047	2	828.0
baseline	1353076975047	2	829.0
baseline	1353076975048	2	828.0
baseline	1353076975048	2	829.0
baseline	1353076975048	2	828.0
baseline	1353076975048	2	829.0
baseline	1353076975049	2	829.0
baseline	1353076975049	2	829.0
baseline	1353076975049	2	828.0
baseline	1353076975544	2	828.0
baseline	1353076975545	2	829.0
baseline	1353076975545	2	829.0
baseline	1353076975545	2	828.0
baseline	1353076975545	2	829.0
baseline	1353076975546	2	829.0
baseline	1353076975546	2	827.0
baseline	1353076975546	2	828.0
baseline	1353076975547	2	829.0
baseline	1353076975547	2	828.0
baseline	1353076975547	2	829.0
baseline	1353076975547	2	829.0
baseline	1353076975548	2	829.0
baseline	1353076975548	2	829.0
baseline	1353076975548	2	829.0
baseline	1353076975548	2	828.0
baseline	1353076976044	2	828.0
baseline	1353076976045	2	829.0
baseline	1353076976045	2	829.0
baseline	1353076976046	2	829.0
baseline	1353076976046	2	829.0
baseline	1353076976046	2	829.0
baseline	1353076976046	2	829.0
baseline	1353076976047	2	828.0
baseline	1353076976047	2	829.0
baseline	1353076976047	2	829.0
baseline	1353076976047	2	829.0
baseline	1353076976048	2	829.0
baseline	1353076976048	2	829.0
baseline	1353076976048	2	829.0
baseline	1353076976049	2	829.0
baseline	1353076976049	2	828.0
baseline	1353076976544	2	828.0
baseline	1353076976544	2	829.0
baseline	1353076976545	2	829.0
baseline	1353076976545	2	829.0
baseline	1353076976545	2	829.0
baseline	1353076976545	2	829.0
baseline	1353076976546	2	828.0
baseline	1353076976546	2	829.0
baseline	1353076976546	2	829.0
baseline	1353076976546	2	829.0
baseline	1353076976547	2	829.0
baseline	1353076976547	2	829.0
baseline	1353076976547	2	829.0
baseline	1353076976547	2	829.0
baseline	1353076976548	2	829.0
baseline	1353076976548	2	828.0
baseline	1353076977044	2	828.0
baseline	1353076977044	2	829.0
baseline	1353076977045	2	829.0
baseline	1353076977045	2	829.0
baseline	1353076977045	2	829.0
baseline	1353076977045	2	829.0
baseline	1353076977046	2	829.0
baseline	1353076977046	2	829.0
baseline	1353076977046	2	829.0
baseline	1353076977046	2	829.0
baseline	1353076977047	2	829.0
baseline	1353076977047	2	828.0
baseline	1353076977047	2	829.0
baseline	1353076977048	2	829.0
baseline	1353076977048	2	829.0
baseline	1353076977049	2	828.0
