MarioTime	BioTime	ChannelID	Data
baseline	1353076335154	2	989.0
baseline	1353076335155	2	990.0
baseline	1353076335155	2	990.0
baseline	1353076335155	2	990.0
baseline	1353076335156	2	990.0
baseline	1353076335156	2	1007.0
baseline	1353076335156	2	1007.0
baseline	1353076335157	2	1007.0
baseline	1353076335157	2	1007.0
baseline	1353076335158	2	1007.0
baseline	1353076335158	2	1007.0
baseline	1353076335158	2	1007.0
baseline	1353076335159	2	1007.0
baseline	1353076335159	2	1007.0
baseline	1353076335159	2	1008.0
baseline	1353076335160	2	1006.0
baseline	1353076335654	2	1006.0
baseline	1353076335654	2	1000.0
baseline	1353076335655	2	1007.0
baseline	1353076335655	2	1008.0
baseline	1353076335655	2	1007.0
baseline	1353076335656	2	1007.0
baseline	1353076335656	2	1007.0
baseline	1353076335657	2	1008.0
baseline	1353076335657	2	1008.0
baseline	1353076335658	2	1008.0
baseline	1353076335658	2	1008.0
baseline	1353076335659	2	1008.0
baseline	1353076335659	2	1008.0
baseline	1353076335659	2	1008.0
baseline	1353076335660	2	1008.0
baseline	1353076335660	2	1007.0
baseline	1353076336160	2	1007.0
baseline	1353076336160	2	1017.0
baseline	1353076336160	2	1009.0
baseline	1353076336161	2	1008.0
baseline	1353076336161	2	1008.0
baseline	1353076336161	2	1008.0
baseline	1353076336163	2	1008.0
baseline	1353076336163	2	1008.0
baseline	1353076336165	2	1008.0
baseline	1353076336165	2	1008.0
baseline	1353076336166	2	1009.0
baseline	1353076336166	2	1009.0
baseline	1353076336167	2	1008.0
baseline	1353076336167	2	1008.0
baseline	1353076336167	2	1008.0
baseline	1353076336168	2	1008.0
baseline	1353076336652	2	1008.0
baseline	1353076336652	2	1013.0
baseline	1353076336652	2	1009.0
baseline	1353076336653	2	1009.0
baseline	1353076336653	2	1009.0
baseline	1353076336653	2	1009.0
baseline	1353076336654	2	1009.0
baseline	1353076336654	2	1009.0
baseline	1353076336654	2	1009.0
baseline	1353076336655	2	1009.0
baseline	1353076336655	2	1009.0
baseline	1353076336655	2	1009.0
baseline	1353076336655	2	1009.0
baseline	1353076336656	2	1009.0
baseline	1353076336656	2	1009.0
baseline	1353076336656	2	1009.0
baseline	1353076337153	2	1009.0
baseline	1353076337153	2	1009.0
baseline	1353076337153	2	1009.0
baseline	1353076337154	2	1009.0
baseline	1353076337154	2	1009.0
baseline	1353076337155	2	1009.0
baseline	1353076337155	2	1009.0
baseline	1353076337155	2	1009.0
baseline	1353076337156	2	1009.0
baseline	1353076337156	2	1009.0
baseline	1353076337156	2	1010.0
baseline	1353076337157	2	1010.0
baseline	1353076337157	2	1010.0
baseline	1353076337157	2	1010.0
baseline	1353076337157	2	1010.0
baseline	1353076337158	2	1009.0
baseline	1353076337660	2	1009.0
baseline	1353076337661	2	1010.0
baseline	1353076337661	2	1010.0
baseline	1353076337661	2	1010.0
baseline	1353076337665	2	1010.0
baseline	1353076337666	2	1009.0
baseline	1353076337666	2	1009.0
baseline	1353076337666	2	1010.0
baseline	1353076337667	2	1010.0
baseline	1353076337667	2	1010.0
baseline	1353076337667	2	1010.0
baseline	1353076337667	2	1010.0
baseline	1353076337668	2	1010.0
baseline	1353076337668	2	1010.0
baseline	1353076337668	2	1010.0
baseline	1353076337669	2	1009.0
baseline	1353076338152	2	1009.0
baseline	1353076338153	2	1010.0
baseline	1353076338153	2	1010.0
baseline	1353076338153	2	1010.0
baseline	1353076338154	2	1010.0
baseline	1353076338154	2	1010.0
baseline	1353076338154	2	1011.0
baseline	1353076338155	2	1010.0
baseline	1353076338155	2	1010.0
baseline	1353076338155	2	1010.0
baseline	1353076338156	2	1011.0
baseline	1353076338156	2	1011.0
baseline	1353076338156	2	1011.0
baseline	1353076338157	2	1011.0
baseline	1353076338157	2	1011.0
baseline	1353076338157	2	1009.0
baseline	1353076338654	2	1009.0
baseline	1353076338654	2	1010.0
baseline	1353076338655	2	1011.0
baseline	1353076338655	2	1011.0
baseline	1353076338656	2	1011.0
baseline	1353076338656	2	1011.0
baseline	1353076338656	2	1011.0
baseline	1353076338657	2	1011.0
baseline	1353076338657	2	1011.0
baseline	1353076338657	2	1010.0
baseline	1353076338657	2	1011.0
baseline	1353076338658	2	1011.0
baseline	1353076338658	2	1011.0
baseline	1353076338658	2	1011.0
baseline	1353076338658	2	1011.0
baseline	1353076338658	2	1011.0
baseline	1353076339153	2	1011.0
baseline	1353076339154	2	1011.0
baseline	1353076339154	2	1011.0
baseline	1353076339154	2	1011.0
baseline	1353076339155	2	1011.0
baseline	1353076339155	2	1011.0
baseline	1353076339155	2	1011.0
baseline	1353076339155	2	1011.0
baseline	1353076339156	2	1011.0
baseline	1353076339156	2	1011.0
baseline	1353076339156	2	1011.0
baseline	1353076339157	2	1011.0
baseline	1353076339157	2	1011.0
baseline	1353076339157	2	1011.0
baseline	1353076339158	2	1011.0
baseline	1353076339158	2	1011.0
baseline	1353076339652	2	1011.0
baseline	1353076339653	2	1011.0
baseline	1353076339653	2	1011.0
baseline	1353076339653	2	1011.0
baseline	1353076339654	2	1011.0
baseline	1353076339654	2	1011.0
baseline	1353076339654	2	1011.0
baseline	1353076339655	2	1011.0
baseline	1353076339655	2	1012.0
baseline	1353076339655	2	1012.0
