MarioTime	BioTime	ChannelID	Data
baseline	1353071465729	2	1022.0
baseline	1353071465730	2	1022.0
baseline	1353071465730	2	1022.0
baseline	1353071465730	2	1022.0
baseline	1353071465731	2	1022.0
baseline	1353071465731	2	1022.0
baseline	1353071465731	2	1022.0
baseline	1353071465732	2	1022.0
baseline	1353071465732	2	1022.0
baseline	1353071465732	2	1022.0
baseline	1353071465733	2	1022.0
baseline	1353071465733	2	1022.0
baseline	1353071465733	2	1022.0
baseline	1353071465733	2	1022.0
baseline	1353071465734	2	1022.0
baseline	1353071465734	2	785.0
baseline	1353071466210	2	785.0
baseline	1353071466210	2	785.0
baseline	1353071466211	2	786.0
baseline	1353071466211	2	786.0
baseline	1353071466211	2	786.0
baseline	1353071466212	2	786.0
baseline	1353071466212	2	787.0
baseline	1353071466212	2	787.0
baseline	1353071466213	2	787.0
baseline	1353071466213	2	788.0
baseline	1353071466214	2	787.0
baseline	1353071466214	2	787.0
baseline	1353071466214	2	788.0
baseline	1353071466215	2	788.0
baseline	1353071466215	2	789.0
baseline	1353071466215	2	788.0
baseline	1353071466709	2	788.0
baseline	1353071466709	2	789.0
baseline	1353071466710	2	790.0
baseline	1353071466710	2	790.0
baseline	1353071466710	2	790.0
baseline	1353071466711	2	790.0
baseline	1353071466711	2	790.0
baseline	1353071466711	2	791.0
baseline	1353071466712	2	791.0
baseline	1353071466712	2	791.0
baseline	1353071466712	2	791.0
baseline	1353071466712	2	792.0
baseline	1353071466713	2	792.0
baseline	1353071466713	2	792.0
baseline	1353071466713	2	792.0
baseline	1353071466714	2	792.0
baseline	1353071467209	2	792.0
baseline	1353071467209	2	793.0
baseline	1353071467209	2	793.0
baseline	1353071467210	2	793.0
baseline	1353071467210	2	793.0
baseline	1353071467210	2	793.0
baseline	1353071467211	2	793.0
baseline	1353071467211	2	794.0
baseline	1353071467211	2	794.0
baseline	1353071467212	2	795.0
baseline	1353071467212	2	794.0
baseline	1353071467212	2	795.0
baseline	1353071467213	2	795.0
baseline	1353071467213	2	795.0
baseline	1353071467213	2	795.0
baseline	1353071467214	2	795.0
baseline	1353071467709	2	795.0
baseline	1353071467709	2	796.0
baseline	1353071467709	2	795.0
baseline	1353071467710	2	796.0
baseline	1353071467710	2	796.0
baseline	1353071467710	2	796.0
baseline	1353071467711	2	796.0
baseline	1353071467711	2	797.0
baseline	1353071467711	2	797.0
baseline	1353071467711	2	797.0
baseline	1353071467712	2	797.0
baseline	1353071467712	2	797.0
